Accession,Title,Technology,Taxonomy,Data Rows,Samples Count,Series Count,Contact,Release Date
GPL17584,BC010,spotted oligonucleotide,synthetic construct,28,8,1,Jennifer L Bowen,"Aug 27, 2013"
GPL17635,Oryza sativa Whole Genome 8x60k Gene Expression Microarray (AMADID: 031380),in situ oligonucleotide,Oryza sativa,59805,18,1,Genotypic technology,"Aug 27, 2013"
GPL17637,Illumina HiSeq 2000 (Mus musculus domesticus),high-throughput sequencing,Mus musculus domesticus,0,55,2,GEO,"Aug 27, 2013"
GPL17639,Illumina HiSeq 2500 (Arabidopsis thaliana),high-throughput sequencing,Arabidopsis thaliana,0,3317,135,GEO,"Aug 27, 2013"
GPL16176,NimbleGen Staphylococcus aureus 3.8K oligo array [2009_08_03_RDKK206_Saur_60mer_expr],in situ oligonucleotide,Staphylococcus aureus,3846,35,4,tomomi hishinuma,"Aug 26, 2013"
GPL17627,Illumina Genome Analyzer II (Neisseria gonorrhoeae),high-throughput sequencing,Neisseria gonorrhoeae,0,6,1,GEO,"Aug 26, 2013"
GPL17628,Illumina HiSeq 2500 (Zea mays),high-throughput sequencing,Zea mays,0,384,18,GEO,"Aug 26, 2013"
GPL17634,Illumina HiSeq 2000 (Plasmodium falciparum 3D7),high-throughput sequencing,Plasmodium falciparum 3D7,0,4,1,GEO,"Aug 26, 2013"
GPL17619,BC009,spotted oligonucleotide,artificial sequences,28,22,2,Bess B Ward,"Aug 24, 2013"
GPL17620,BC012,spotted oligonucleotide,artificial sequences,31,20,2,Bess B Ward,"Aug 24, 2013"
GPL10848,Mycroarray-Saccharomyces_cerevisiae-30K,in situ oligonucleotide,Saccharomyces cerevisiae,5881,4,1,Hye Yun Moon,"Aug 23, 2013"
GPL15985,Agilent-035137 Catostomus snyderi array,in situ oligonucleotide,Catostomus snyderi,15744,0,0,Nancy D Denslow,"Aug 23, 2013"
GPL17264,NimbleGen Custom Mouse Neuronal Tiling Array [120509_MM9_BHB_ChIP],spotted oligonucleotide,Mus musculus,212344,2,2,Gillian Taylor,"Aug 23, 2013"
GPL17608,"TaqMan® OpenArray® Human MicroRNA Panel, QuantStudio™ 12K Flex",RT-PCR,Homo sapiens,755,5,1,Ilona Kryczek,"Aug 23, 2013"
GPL17614,Agilent-032180 S. cerevisiae DalChipJan11,in situ oligonucleotide,Saccharomyces cerevisiae,62976,36,1,Zvi Tamari,"Aug 23, 2013"
GPL17615,Agilent-037300 S. paradoxus YParNov11,in situ oligonucleotide,Saccharomyces paradoxus,62976,12,1,Zvi Tamari,"Aug 23, 2013"
GPL17603,miRXplore TM Microarray (968),spotted DNA/cDNA,Homo sapiens;Mus musculus;Rattus norvegicus,1607,76,3,Silvia Rueberg,"Aug 22, 2013"
GPL17605,[MPIO-ZF1s520811] Affymetrix Zebra finch Custom Array [transcript version],in situ oligonucleotide,Taeniopygia guttata,30994,114,4,Carolina Frankl-Vilches,"Aug 22, 2013"
GPL17606,Borrelia burgdorferi Partial Genome Array,spotted peptide or protein,Borreliella burgdorferi,102,36,1,Elisabeth Baum,"Aug 22, 2013"
GPL17607,OspC Protein Microarray v2,spotted peptide or protein,Borreliella burgdorferi,24,36,1,Elisabeth Baum,"Aug 22, 2013"
GPL17610,PacBio RS (Pseudomonas phage PaP1),high-throughput sequencing,Pseudomonas phage PaP1,0,1,1,GEO,"Aug 22, 2013"
GPL17327,Agilent-021441 NCode Human Long Non-coding RNA microarray,spotted oligonucleotide,Homo sapiens,39246,17,5,Casey M Wright,"Aug 21, 2013"
GPL17539,Illumina HumanOmni1-Quad BeadChip  (4v1MultiUse_15014141_B),oligonucleotide beads,Homo sapiens,1164123,51,2,Renato Mariani-Costantini,"Aug 21, 2013"
GPL16048,Agilent-029412 E. coli K-12 MG1655 Summer 2010_Updated annotation,in situ oligonucleotide,Escherichia coli,15744,212,3,Robert Poole,"Aug 21, 2013"
GPL17594,Arabidopsis thaliana MPSS,MPSS,Arabidopsis thaliana,0,2,1,Alma Armenta,"Aug 21, 2013"
GPL17599,Yersinia intermedia ATCC 29909 384k array,in situ oligonucleotide,Yersinia intermedia ATCC 29909,389123,6,1,Lavanya Babujee,"Aug 21, 2013"
GPL15965,Affymetrix Gilmorea520187F Enterococcus faecalis V583 array,in situ oligonucleotide,Enterococcus faecalis V583,3582,0,0,Vijayalakshmi S Iyer,"Aug 20, 2013"
GPL17585,[HTA-2_0] Affymetrix Human Transcriptome Array 2.0 [probe set (exon) version],in situ oligonucleotide,Homo sapiens,925032,460,29,"Affymetrix, Inc.","Aug 20, 2013"
GPL17586,[HTA-2_0] Affymetrix Human Transcriptome Array 2.0 [transcript (gene) version],in situ oligonucleotide,Homo sapiens,70753,5979,155,"Affymetrix, Inc.","Aug 20, 2013"
GPL17591,SuperArray GEArray Series Human Wnt Signaling Pathway Gene Array,spotted DNA/cDNA,Homo sapiens,114,2,1,David A. Geller,"Aug 20, 2013"
GPL17593,Illumina Genome Analyzer IIx (Rhizobium etli),high-throughput sequencing,Rhizobium etli,0,9,1,GEO,"Aug 20, 2013"
GPL17596,Illumina Genome Analyzer (Phytophthora infestans),high-throughput sequencing,Phytophthora infestans,0,2,2,GEO,"Aug 20, 2013"
GPL17597,454 GS 20 (Phytophthora ramorum),high-throughput sequencing,Phytophthora ramorum,0,1,2,GEO,"Aug 20, 2013"
GPL17598,454 GS 20 (Phytophthora sojae),high-throughput sequencing,Phytophthora sojae,0,1,2,GEO,"Aug 20, 2013"
GPL17601,Illumina HiSeq 2000 (Saccharomyces cerevisiae x Saccharomyces paradoxus),high-throughput sequencing,Saccharomyces cerevisiae x Saccharomyces paradoxus,0,36,4,GEO,"Aug 20, 2013"
GPL17602,Illumina HiSeq 2000 (Saccharomyces paradoxus),high-throughput sequencing,Saccharomyces paradoxus,0,24,5,GEO,"Aug 20, 2013"
GPL17031,Nimblegen Human HG19_HELP array [100128_HG19_MKF_HELP_ChIP],in situ oligonucleotide,Homo sapiens,117521,37,1,Maria Eugenia Figueroa,"Aug 19, 2013"
GPL17032,Nimblegen Mouse MM9_KF_Meth array [100520_MM9_KF_Meth],in situ oligonucleotide,Mus musculus,119260,6,1,Maria Eugenia Figueroa,"Aug 19, 2013"
GPL17589,454 GS FLX (Schizosaccharomyces pombe),high-throughput sequencing,Schizosaccharomyces pombe,0,1,1,GEO,"Aug 19, 2013"
GPL17260,Nimblegen Clemson E. coli MG1655 Custom 135K,in situ oligonucleotide,Escherichia coli str. K-12 substr. MG1655,4285,48,1,Faraz Baig,"Aug 16, 2013"
GPL16756,Agilent-030593 Tribolium castaneum array,in situ oligonucleotide,Tribolium castaneum,45220,2,1,Ann Thomas Tate,"Aug 15, 2013"
GPL16852,Camellia sinensis 4x44k Microarray  designed by Genotypic Technology Private  Limited. (AMADID:043117),in situ oligonucleotide,Camellia sinensis,28188,4,1,Genotypic technology,"Aug 15, 2013"
GPL17470,Thermo Scientific Dharmacon microRNA human array,spotted oligonucleotide,Homo sapiens,738,34,1,Chirayu Pankaj Goswami,"Aug 15, 2013"
GPL17529,"Exiqon microRNA Ready-to-Use PCR, Human panel I+II, V2.M",RT-PCR,Homo sapiens,380,8,2,William Thomas Budd,"Aug 15, 2013"
GPL17574,SABiosciences Mouse Type I Interferon Response PCR Array,RT-PCR,Mus musculus,55,40,1,Hui-Wen Chen,"Aug 15, 2013"
GPL17575,NimbleGen human oral metagenome array [HuMiChip V1.0],in situ oligonucleotide,human metagenome,3685,20,1,Qichao Tu,"Aug 15, 2013"
GPL17578,Albert Einstein College of Medicine Mouse array,spotted DNA/cDNA,Mus musculus,5826,5,1,Sandra Eve Reznik,"Aug 15, 2013"
GPL17579,Illumina Genome Analyzer IIx (Populus trichocarpa),high-throughput sequencing,Populus trichocarpa,0,51,3,GEO,"Aug 15, 2013"
GPL17582,Illumina HiSeq 1000 (Saccharomyces cerevisiae),high-throughput sequencing,Saccharomyces cerevisiae,0,215,4,GEO,"Aug 15, 2013"
GPL16370,NimbleGen Mouse 3X720K,in situ oligonucleotide,Mus musculus,690279,4,2,Eugene M Oltz,"Aug 14, 2013"
GPL17565,Thermococcus kodakarensis microarray,spotted DNA/cDNA,Thermococcus kodakarensis,2317,16,3,Ryota Hidese,"Aug 14, 2013"
GPL17566,"Exiqon miRCURY LNA microRNA array; 7th generation; batch 208500-2, 208510; lot 35009 –  hsa, mmu & rno (miRBase 19.0)",spotted oligonucleotide,Rattus norvegicus,705,40,2,Katarzyna Lukasiuk,"Aug 14, 2013"
GPL17567,"NIA MGC, Mammalian Genome Collection",spotted DNA/cDNA,Homo sapiens,16896,6,3,Imed Gallouzi,"Aug 14, 2013"
GPL17568,"miRCURY™ LNA microRNA array v11.0 hmr, miRBase 13.0 + miRPlus",spotted oligonucleotide,Homo sapiens;Mus musculus;Rattus norvegicus,656,8,3,Imed Gallouzi,"Aug 14, 2013"
GPL17569,Illumina Genome Analyzer IIx (Rhodobacter sphaeroides ATCC 17025),high-throughput sequencing,Rhodobacter sphaeroides ATCC 17025,0,1,1,GEO,"Aug 14, 2013"
GPL17570,Illumina HiSeq 2000 (Rhodobacter sphaeroides ATCC 17025),high-throughput sequencing,Rhodobacter sphaeroides ATCC 17025,0,11,1,GEO,"Aug 14, 2013"
GPL17571,Illumina HiSeq 2000 (Escherichia coli BL21(DE3)),high-throughput sequencing,Escherichia coli BL21(DE3),0,9,2,GEO,"Aug 14, 2013"
GPL17572,Illumina HiSeq 2000 (Rhodobacter sphaeroides ATCC 17029),high-throughput sequencing,Rhodobacter sphaeroides ATCC 17029,0,2,1,GEO,"Aug 14, 2013"
GPL17573,Illumina HiSeq 2000 (Fusarium graminearum),high-throughput sequencing,Fusarium graminearum,0,109,10,GEO,"Aug 14, 2013"
GPL15619,JCVI PFGRC Vibrio cholerae 13K v3 array designed primarily based on strain N16961 [Full array version],spotted oligonucleotide,Vibrio cholerae,13872,4,1,James Bina,"Aug 13, 2013"
GPL17558,Sequence Validated Human cDNA library by ResGen (Invitrogen) [print version 1],spotted DNA/cDNA,Homo sapiens,19159,14,1,Sok Kean Khoo,"Aug 13, 2013"
GPL17559,Sequence Validated Human cDNA library by ResGen (Invitrogen) [print version 2],spotted DNA/cDNA,Homo sapiens,5268,14,1,Sok Kean Khoo,"Aug 13, 2013"
GPL17562,Illumina HiSeq 2000 (Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74),high-throughput sequencing,Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74,0,68,3,GEO,"Aug 13, 2013"
GPL17563,Illumina Genome Analyzer IIx (mixed culture KAZ_0815),high-throughput sequencing,mixed culture KAZ_0815,0,1,1,GEO,"Aug 13, 2013"
GPL17564,Illumina MiSeq (mixed culture KAZ_0815),high-throughput sequencing,mixed culture KAZ_0815,0,2,1,GEO,"Aug 13, 2013"
GPL17181,NimbleGen 12x270K Custom Maize Methylation Array,in situ oligonucleotide,Zea mays,271144,106,2,Steve R Eichten,"Aug 12, 2013"
GPL17307,UCSF/Sil lab-Histoplasma capsulatum-G217Borfs3,spotted oligonucleotide,Histoplasma capsulatum,15012,23,1,Mark Voorhies,"Aug 12, 2013"
GPL17561,Illumina Genome Analyzer IIx (Enterobacterio phage MS2),high-throughput sequencing,Enterobacterio phage MS2,0,4,1,GEO,"Aug 12, 2013"
GPL17551,Human Oxidative Stress and Antioxidant Defense,RT-PCR,Homo sapiens,89,12,1,Michael J Plewa,"Aug 11, 2013"
GPL17555,[HuGene-1_1-st] Affymetrix Human Gene 1.1 ST Array [HuGene11stv1_Hs_ENTREZG_17.0.0],in situ oligonucleotide,Homo sapiens,19715,53,2,GEO admin,"Aug 11, 2013"
GPL17556,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [HuGene10stv1_Hs_ENTREZG_17.0.0],in situ oligonucleotide,Homo sapiens,19718,56,5,GEO admin,"Aug 11, 2013"
GPL16900,Agilent-034029 PanTro_HD_1M_1,in situ oligonucleotide,Pan troglodytes,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16901,Agilent-034030 PanTro2_HD_1M_2,in situ oligonucleotide,Pan troglodytes,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16902,Agilent-034031 PanTro_HD_1M_3,in situ oligonucleotide,Pan troglodytes,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16903,Agilent-034032 PanTro2_HD_1M_4,in situ oligonucleotide,Pan troglodytes,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16904,Agilent-034033 PanTro2_HD_1M_5,in situ oligonucleotide,Pan troglodytes,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16905,Agilent-034034 PanTro2_HD_1M_6,in situ oligonucleotide,Pan troglodytes,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16906,Agilent-034035 PanTro2_HD_1M_7,in situ oligonucleotide,Pan troglodytes,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16907,Agilent-034036 PanTro2_HD_1M_8,in situ oligonucleotide,Pan troglodytes,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16908,Agilent-034037 PanTro2_HD_1M_9,in situ oligonucleotide,Pan troglodytes,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16909,Agilent-034038 RheMac2_HD_1M_1,in situ oligonucleotide,Macaca mulatta,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16910,Agilent-034039 RheMac2_HD_1M_2,in situ oligonucleotide,Pan troglodytes,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16911,Agilent-034040 PanTro2_HD_1M_10,in situ oligonucleotide,Pan troglodytes,420288,1,1,Charles Lee,"Aug 10, 2013"
GPL16912,Agilent-034041 RheMac2_HD_1M_3,in situ oligonucleotide,Macaca mulatta,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16913,Agilent-034042 RheMac2_HD_1M_4,in situ oligonucleotide,Pan troglodytes,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16914,Agilent-034043 RheMac2_HD_1M_5,in situ oligonucleotide,Macaca mulatta,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16915,Agilent-034044 RheMac2_HD_1M_6,in situ oligonucleotide,Macaca mulatta,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16916,Agilent-034045 RheMac2_HD_1M_7,in situ oligonucleotide,Macaca mulatta,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16917,Agilent-034046 RheMac2_HD_1M_9,in situ oligonucleotide,Macaca mulatta,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16918,Agilent-034047 RheMac2_HD_400K_10,in situ oligonucleotide,Macaca mulatta,420288,1,1,Charles Lee,"Aug 10, 2013"
GPL16919,Agilent-034048 RheMac2_HD_1M_8,in situ oligonucleotide,Macaca mulatta,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16920,Agilent-035944 ponAbe2_HD_1M_5,in situ oligonucleotide,Pongo pygmaeus,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16921,Agilent-035950 ponAbe2_HD_400K_10,in situ oligonucleotide,Pongo pygmaeus,420288,1,1,Charles Lee,"Aug 10, 2013"
GPL16922,Agilent-035952 ponAbe2_HD_1M_4,in situ oligonucleotide,Pongo pygmaeus,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16923,Agilent-035954 ponAbe2_HD_1M_6,in situ oligonucleotide,Pongo pygmaeus,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16924,Agilent-035955 ponAbe2_HD_1M_7,in situ oligonucleotide,Pongo pygmaeus,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16925,Agilent-035956 ponAbe2_HD_1M_8,in situ oligonucleotide,Pongo pygmaeus,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16926,Agilent-035957 ponAbe2_HD_1M_9,in situ oligonucleotide,Pongo pygmaeus,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16927,Agilent-035978 ponAbe2_HD_1M_1,in situ oligonucleotide,Pongo pygmaeus,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16928,Agilent-035979 ponAbe2_HD_1M_2,in situ oligonucleotide,Pongo pygmaeus,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL16929,Agilent-035980 ponAbe2_HD_1M_3,in situ oligonucleotide,Pongo pygmaeus,974016,1,1,Charles Lee,"Aug 10, 2013"
GPL17550,Agilent-026185 AGTRAN2009 array,in situ oligonucleotide,Anopheles gambiae,28057,4,1,George Dimopoulos,"Aug 10, 2013"
GPL16165,NimbleGen pig CGH array,in situ oligonucleotide,Sus scrofa,719336,12,1,Fenge Li,"Aug 09, 2013"
GPL17546,Affymetrix custom miRNA array [hsMiR-v1s520779F],in situ oligonucleotide,Homo sapiens,4248,16,1,Lukas Baeriswyl,"Aug 09, 2013"
GPL17547,TU Graz miRNA array,spotted oligonucleotide,Homo sapiens,2243,65,1,Rotraud Wieser,"Aug 09, 2013"
