Accession,Title,Technology,Taxonomy,Data Rows,Samples Count,Series Count,Contact,Release Date
GPL14728,"China CDC Shigella flexneri 4224","spotted DNA/cDNA","Shigella flexneri",4224,36,1,"Hua Fu","Mar 21, 2012"
GPL15370,"Illumina Genome Analyzer IIx (Oryza sativa Japonica Group)","high-throughput sequencing","Oryza sativa Japonica Group",0,36,3,"GEO","Mar 21, 2012"
GPL15315,"Affymetrix Genome-Wide Human SNP 6.0 Array","in situ oligonucleotide","Homo sapiens",22519,947,2,"Nicolas Stransky","Mar 20, 2012"
GPL15359,"Agilent-PEROU-LAB-CUSTOM-HS-244K-CGH-BARCODE20421","in situ oligonucleotide","Homo sapiens",243504,96,1,"Charles M. Perou","Mar 20, 2012"
GPL10121,"The Oligo GEArray® Mouse Diabetes Microarray OMM-023","in situ oligonucleotide","Mus musculus",128,32,1,"Wen-Jun Shen","Mar 18, 2012"
GPL14689,"Invitrogen ProtoArray v5.0 (full array layout)","spotted peptide or protein","Homo sapiens",23232,164,5,"Hogune Im","Mar 16, 2012"
GPL15357,"Agilent-026441 Gallus gallus (Chicken) Oligo Microarray v2 (Probe Name version)","in situ oligonucleotide","Gallus gallus",43663,206,12,"Agilent Technologies","Mar 16, 2012"
GPL15358,"Agilent-015223 Rat Genome CGH Microarray 244A","in situ oligonucleotide","Rattus norvegicus",243504,31,3,"GEO admin","Mar 16, 2012"
GPL13287,"Phalanx Human OneArray [Annotation HOA5 release 1.0]","spotted oligonucleotide","Homo sapiens",29187,65,8,"keyi liu","Mar 15, 2012"
GPL13503,"CYL Calbicans 2.0","spotted oligonucleotide","Candida albicans",7904,10,1,"Yu-Ting Chen","Mar 15, 2012"
GPL13772,"Heterobasidion annosum 12K whole genome expression array","in situ oligonucleotide","Heterobasidion annosum",12199,60,3,"Annegret Kohler","Mar 15, 2012"
GPL14889,"Agilent-019159 Rat miRNA microarray v1.0 (Sanger release 10.1)","in situ oligonucleotide","Rattus norvegicus",352,164,6,"Rachael Dippold","Mar 15, 2012"
GPL15348,"Illumina Genome Analyzer (Giardia intestinalis)","high-throughput sequencing","Giardia intestinalis",0,5,1,"GEO","Mar 14, 2012"
GPL15353,"AB SOLiD System 3.0 (Bacillus anthracis)","high-throughput sequencing","Bacillus anthracis",0,4,1,"GEO","Mar 14, 2012"
GPL14719,"GeneScan_SigB_350","spotted oligonucleotide","Bacillus subtilis",350,111,1,"Leif Steil","Mar 13, 2012"
GPL15346,"Illumina Genome Analyzer II (Burkholderia glumae)","high-throughput sequencing","Burkholderia glumae",0,6,1,"GEO","Mar 13, 2012"
GPL14691,"KTH RAT 27k Oligo Microarray platform","spotted oligonucleotide","Rattus norvegicus",26974,4,1,"Leandro Fernandez-Perez","Mar 10, 2012"
GPL14557,"Agilent-020736 miRNA-v3.1-7species-8x15K array","in situ oligonucleotide","Caenorhabditis elegans;Danio rerio;Drosophila melanogaster;Gallus gallus;Homo sapiens;Mus musculus;Rattus norvegicus",2147,11,2,"Andrea J Barczak","Mar 09, 2012"
GPL14558,"Agilent-021542 miRNA-v3.2-8x15K array","in situ oligonucleotide","Caenorhabditis elegans;Danio rerio;Drosophila melanogaster;Gallus gallus;Homo sapiens;Mus musculus;Rattus norvegicus",2481,2,1,"Andrea J Barczak","Mar 09, 2012"
GPL15337,"Illumina HiSeq 2000 (Setaria italica)","high-throughput sequencing","Setaria italica",0,4,1,"GEO","Mar 09, 2012"
GPL15338,"Nimblegen Homo sapiens HG18 Expression Array (12x135k) [gene-level]","in situ oligonucleotide","Homo sapiens",45033,66,10,"NimbleGen Systems, Inc.","Mar 09, 2012"
GPL13230,"[ATH1-121501] Affymetrix Arabidopsis ATH1 Genome Array [Custom CDF: ATH1-121501.TAIR10]","in situ oligonucleotide","Arabidopsis thaliana",21428,100,3,"David Lee Des Marais","Mar 08, 2012"
GPL15316,"Agilent-027178 Dog Whole Ensembl Gene Array 2-2-2010 024881","in situ oligonucleotide","Canis lupus familiaris",420288,31,1,"Ryan Doan","Mar 08, 2012"
GPL15320,"LC Sciences G. gallus miRChicken_17 (condensed version)","in situ oligonucleotide","Gallus gallus",641,2,1,"Michael Bryan Watson","Mar 08, 2012"
GPL15323,"SBRI_110930_Msme_MC2155_TR_til_exp_HX12","in situ oligonucleotide","Mycobacterium smegmatis str. MC2 155",6713,9,2,"Tige Rustad","Mar 08, 2012"
GPL15332,"Helicos HeliScope (Vibrio cholerae O1 str. C6706)","high-throughput sequencing","Vibrio cholerae O1 str. C6706",0,17,1,"GEO","Mar 08, 2012"
GPL15333,"Illumina HiSeq 2000 (Vibrio cholerae O1 str. C6706)","high-throughput sequencing","Vibrio cholerae O1 str. C6706",0,6,1,"GEO","Mar 08, 2012"
GPL15334,"Illumina HiSeq 1000 (Drosophila melanogaster)","high-throughput sequencing","Drosophila melanogaster",0,15,6,"GEO","Mar 08, 2012"
GPL15335,"Illumina Genome Analyzer II (Myceliophthora thermophila)","high-throughput sequencing","Myceliophthora thermophila",0,7,1,"GEO","Mar 08, 2012"
GPL11661,"MEEBO 16Mm","spotted oligonucleotide","Mus musculus",38976,8,1,"Andrea J Barczak","Mar 07, 2012"
GPL13221,"NCSU Payne_Aspergillus Flavus_22683_AFLAVUSa520391F [probe-level]","in situ oligonucleotide","Aspergillus flavus;Aspergillus oryzae;Zea mays",150338,19,1,"Ignazio Carbone","Mar 07, 2012"
GPL13992,"Agilent-023723 UCSF Multi-species custom 8x15K miRNA array","in situ oligonucleotide","Caenorhabditis elegans;Danio rerio;Drosophila melanogaster;Gallus gallus;Homo sapiens;Mus musculus;Rattus norvegicus",2579,1,1,"Andrea J Barczak","Mar 07, 2012"
GPL14011,"MI Rat 39K oligo array","spotted oligonucleotide","Rattus norvegicus",39039,6,1,"Salil Sharma","Mar 07, 2012"
GPL15307,"Agilent-015058 O. sativa (Rice) Oligo Microarray 4x44K (Probe Name version)","in situ oligonucleotide","Oryza sativa",21556,0,0,"Agilent Technologies","Mar 07, 2012"
GPL15322,"454 GS FLX Titanium (Pseudomonas aeruginosa)","high-throughput sequencing","Pseudomonas aeruginosa",0,4,1,"GEO","Mar 07, 2012"
GPL15324,"AB SOLiD 5500xl SOLiD System (Mus musculus)","high-throughput sequencing","Mus musculus",0,12,3,"GEO","Mar 07, 2012"
GPL15325,"Illumina Genome Analyzer IIx (Equus caballus)","high-throughput sequencing","Equus caballus",0,13,2,"GEO","Mar 07, 2012"
GPL15326,"Illumina Genome Analyzer IIx (Equus asinus)","high-throughput sequencing","Equus asinus",0,3,1,"GEO","Mar 07, 2012"
