Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE61848,"Gene expression profile of human dental follicle cells (hDFCs) induced by conditioned medium derived from human dental pulp cells (hDPCs-CM)","Expression profiling by array","Homo sapiens",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61848/suppl",25520056,,"Su Jin Park","Sep 30, 2014"
GSE61867,"Tolerant and rejecting T cell microarray","Expression profiling by array","Mus musculus",8,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61867/suppl",25434740,,"Duncan Howie","Sep 30, 2014"
GSE61868,"Genome-wide expression analysis of submandibular salivary gland tumours of Smgb-Tag mice","Expression profiling by array","Mus musculus",9,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61868/suppl",,,"Johannes Routila","Sep 30, 2014"
GSE61900,"TALEN gene knockouts reveal no requirement for the shelterin protein Rap1 in telomere protection and length regulation","Expression profiling by array","Homo sapiens",24,,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61900/suppl",25453752,,"Shaheen Kabir","Sep 30, 2014"
GSE61903,"Transcriptomic analysis of a NaCl-resistant Saccharomyces cerevisiae mutant obtained by evolutionary engineering","Expression profiling by array","Saccharomyces cerevisiae;Saccharomyces cerevisiae CEN.PK113-7D",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61903/suppl",,,"CEREN ALKIM","Sep 30, 2014"
GSE32572,"Expression data from Pseudomonas aueruginosa NCTC8626 treated with and without manuka honey","Expression profiling by array","Pseudomonas aeruginosa",6,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32572/suppl",,,"Peter Giles","Sep 29, 2014"
GSE44782,"Gene expression in post cardiac surgery acute kidney injury","Expression profiling by array","Sus scrofa",6,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE44nnn/GSE44782/suppl",25331815,,"Mohamed T. Ghorbel","Sep 29, 2014"
GSE51913,"Cardiac energy dependence on glucose activates metabolic genes controlled by mTOR","Expression profiling by array","Mus musculus",7,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51913/suppl",,,"Jonathan C Schisler","Sep 29, 2014"
GSE53945,"Diurnal transcriptome dynamics of Japanese cedar in summer and winter","Expression profiling by array","Cryptomeria japonica",44,,"PAIR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53945/suppl",25403374,,"Mine Nose","Sep 29, 2014"
GSE53999,"NF-kB coordinates rapid, BRD4-dependent remodeling of proinflammatory super-enhancers [Affymetrix]","Expression profiling by array","Homo sapiens",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53999/suppl",25263595,,"James Bradner","Sep 29, 2014"
