Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE65405,"Nilotinib (Tasigna) in the Treatment of Early Diffuse Systemic Sclerosis: An Open-Label, Pilot Clinical Trial","Expression profiling by array","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65405/suppl",26283632,,"Tammara Wood","Aug 27, 2015"
GSE66359,"Analysis of the gene expression profile in normal human epidermal keratinocytes and cutaneous squamous cell carcinoma cell lines","Expression profiling by array","Homo sapiens",13,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66359/suppl",25789706,,"Liisa Nissinen","Aug 27, 2015"
GSE66361,"Analysis of the gene expression profile in cutaneous squamous cell carcinoma cells after EphB2 knockdown","Expression profiling by array","Homo sapiens",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66361/suppl",25789706,,"Liisa Nissinen","Aug 27, 2015"
GSE66368,"EphB2 promotes progression of cutaneous squamous cell carcinoma","Expression profiling by array","Homo sapiens",25,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66368/suppl",25789706,,"Liisa Nissinen","Aug 27, 2015"
GSE69760,"Expression data from Bone marrow and Fetal liver Lineage-c-Kit+Sca-1+ (LSK) cells","Expression profiling by array","Mus musculus",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69760/suppl",,,"Motohiko Oshima","Aug 27, 2015"
GSE70692,"Comparison of gene expression in sams-1(RNAi) and sbp-1(RNAi) adult C. elegans","Expression profiling by array","Caenorhabditis elegans",9,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70692/suppl",,,"Amy K Walker","Aug 27, 2015"
GSE70693,"Comparison of gene expression between sams-1(RNAi) and sams-1(RNAi) animals rescued by choline","Expression profiling by array","Caenorhabditis elegans",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70693/suppl",,,"Amy K Walker","Aug 27, 2015"
GSE72392,"Kidney gene expression profile following the transplant-induced reactivation of MCMV","Expression profiling by array","Mus musculus",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72392/suppl",,,"Chunfa Jie","Aug 27, 2015"
GSE72396,"Expression data from HaCaT cells stimulated by IL-22","Expression profiling by array;Non-coding RNA profiling by array","Homo sapiens;synthetic construct",8,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72396/suppl",,,"Meng Jiang","Aug 27, 2015"
GSE72398,"Expression data from CEA high and CEA low cells in colorectal cancer","Expression profiling by array","Homo sapiens",4,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72398/suppl",,,"Chang Yan","Aug 27, 2015"
GSE72411,"Gene expression induced by treatment of artemin in HCC.CELls","Expression profiling by array","Homo sapiens",2,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72411/suppl",,,"Jin Hou","Aug 27, 2015"
GSE72413,"Transcriptomic and Proteomic Analysis of Saccharomyces cerevisiae with Secretion of Cellobiohydrolases","Expression profiling by array","Saccharomyces cerevisiae",24,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72413/suppl",,,"Dawn Marie Klingeman","Aug 27, 2015"
GSE72414,"Remodeling of DNA transcription genomic fabric in Capridine-treated LNCaP human prostate cancer cell line","Expression profiling by array","Homo sapiens",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72414/suppl",,,"Dumitru Andrei Iacobas","Aug 27, 2015"
GSE72415,"Transcriptomic effects of Capridine on the acute promyelocytic leukemia HL-60 cell line","Expression profiling by array","Homo sapiens",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72415/suppl",,,"Dumitru Andrei Iacobas","Aug 27, 2015"
GSE72428,"Changes in eutopic endometrial gene expression during the progression of experimental endometriosis in the baboon, Papio anubis","Expression profiling by array","Homo sapiens;Papio anubis",19,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72428/suppl",23284138,,"Damian Roqueiro","Aug 27, 2015"
GSE27698,"Characterization of a Lactococcus lactis high-temperature mutant with increased glycolytic flux","Expression profiling by array","Lactococcus lactis;Lactococcus lactis subsp. cremoris MG1363",15,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27698/suppl",,,"Jun Chen","Aug 26, 2015"
GSE45558,"Expression data from BRAF-mutant melanoma cell lines","Expression profiling by array","Homo sapiens",46,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE45nnn/GSE45558/suppl",26286024,,"Petranel T Ferrao","Aug 26, 2015"
GSE51724,"Gene expression in third instar larval eye discs","Expression profiling by array","Drosophila melanogaster",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51724/suppl",25058496,,"Mary Truscott","Aug 26, 2015"
GSE60805,"Thrombospondin 1 in a model of colorectal carcinogenesis","Expression profiling by array","Mus musculus",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60805/suppl",,,"Sridar Chittur","Aug 26, 2015"
GSE64541,"Cell stage dependent transcriptional response to leukemic oncogene","Expression profiling by array","Mus musculus",23,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64541/suppl",26018585,,"Salam Adli Assi","Aug 26, 2015"
GSE64625,"RUNX1/ETO role's in hematopoietic system","Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",29,,"BW;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64625/suppl",26018585,,"Salam Adli Assi","Aug 26, 2015"
GSE72342,"HT1080 WT or STAT deficient exposed to IFN beta or human trophoblast medium","Expression profiling by array","Homo sapiens",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72342/suppl",,,"Yoel Sadovsky","Aug 26, 2015"
GSE72357,"mRNA expression data for rat liver treated for 24h with RG3487 (180mg/kg po.) vs vehicle only (deionized water)","Expression profiling by array","Rattus norvegicus",10,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72357/suppl",,,"Laura Badi","Aug 26, 2015"
GSE72359,"p53 amplifies Toll-like receptor 5 response in MCF-7 cells","Expression profiling by array","Homo sapiens",35,,,,26220208,,"NIEHS Microarray Core","Aug 26, 2015"
GSE72378,"Vibrio cholerae O395 toxSL33S vs toxSL33S delta rpoE","Expression profiling by array","Vibrio cholerae;Vibrio cholerae O395",4,,"DAT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72378/suppl",,,"Salvador Almagro-Moreno","Aug 26, 2015"
