Accession,Title,Technology,Taxonomy,Data Rows,Samples Count,Series Count,Contact,Release Date
GPL20854,"100718_Scer_EXP_HX12","in situ oligonucleotide","Saccharomyces cerevisiae",137040,24,1,"Dawn Marie Klingeman","Aug 27, 2015"
GPL20861,"Illumina HiSeq 2000 (Canna indica)","high-throughput sequencing","Canna indica",0,0,0,"GEO","Aug 27, 2015"
GPL20863,"SABiosciences Human Dendritic and Antigen Presenting Cell PCR assay panel (PAHS-077Z-24)","RT-PCR","Homo sapiens",96,4,1,"Bruna Benso","Aug 27, 2015"
GPL20866,"Illumina MiSeq (Mus musculus domesticus)","high-throughput sequencing","Mus musculus domesticus",0,0,0,"GEO","Aug 27, 2015"
GPL20867,"Illumina MiSeq (Mus musculus molossinus)","high-throughput sequencing","Mus musculus molossinus",0,0,0,"GEO","Aug 27, 2015"
GPL20849,"Custom Vibrio cholerae Array_4K","spotted oligonucleotide","Vibrio cholerae",4352,4,1,"Salvador Almagro-Moreno","Aug 26, 2015"
GPL20852,"Illumina HiSeq 2500 (Oncorhynchus keta)","high-throughput sequencing","Oncorhynchus keta",0,12,1,"GEO","Aug 26, 2015"
GPL20857,"Illumina HiSeq 2500 (Macrobrachium nipponense)","high-throughput sequencing","Macrobrachium nipponense",0,0,0,"GEO","Aug 26, 2015"
GPL20846,"Illumina Genome Analyzer II (Chiloscyllium plagiosum)","high-throughput sequencing","Chiloscyllium plagiosum",0,0,0,"GEO","Aug 25, 2015"
GPL20847,"Illumina Genome Analyzer IIx (Chiloscyllium plagiosum)","high-throughput sequencing","Chiloscyllium plagiosum",0,0,0,"GEO","Aug 25, 2015"
GPL20848,"Illumina HiSeq 2500 (Malus domestica)","high-throughput sequencing","Malus domestica",0,0,0,"GEO","Aug 25, 2015"
GPL20838,"Illumina HiSeq 2000 (Pinus massoniana)","high-throughput sequencing","Pinus massoniana",0,2,1,"GEO","Aug 24, 2015"
GPL20839,"Illumina HiSeq 2500 (Aspergillus nidulans)","high-throughput sequencing","Aspergillus nidulans",0,9,1,"GEO","Aug 24, 2015"
GPL20841,"Illumina HiSeq 1000 (Schizosaccharomyces pombe)","high-throughput sequencing","Schizosaccharomyces pombe",0,0,0,"GEO","Aug 24, 2015"
GPL20842,"[DroGene-1_0-st] Drosophila Gene 1.0 ST Array [transcript (gene) version]","in situ oligonucleotide","Drosophila melanogaster",50525,0,0,"Affymetrix, Inc.","Aug 24, 2015"
GPL20844,"Agilent-072363 SurePrint G3 Human GE v3 8x60K Microarray 039494 [Feature Number Version]","in situ oligonucleotide","Homo sapiens",62976,0,0,"GEO admin","Aug 24, 2015"
GPL20652,"Agilent-041580 8x60K whole genome linc V1_V2 041579 (Probe name version]","in situ oligonucleotide","Homo sapiens",57507,32,2,"January 3rd Weiner","Aug 22, 2015"
GPL20835,"[OviGene-1_0-st] Ovine Gene 1.1 ST Array [transcript (gene) version]","in situ oligonucleotide","Ovis aries",24595,8,1,"Tim Molloy","Aug 21, 2015"
GPL20836,"NIA Mouse 44K Microarray v3.0 update (Whole Genome 60-mer Oligo) [Agilent-015087]","in situ oligonucleotide","Mus musculus",42006,0,0,"Minoru S.H. Ko","Aug 21, 2015"
GPL20837,"[MoGene-1_1-st] Affymetrix Mouse Gene 1.1 ST Array [transcript (gene) version] [CDF: mogene11st_Mm_ENTREZG_19.0.0]","in situ oligonucleotide","Mus musculus",21115,0,0,"GEO admin","Aug 21, 2015"
GPL20180,"JCVI PFGRC Streptococcus gordonii 16K v1 array designed primarily based on strain Challis (Feature ID)","spotted oligonucleotide","Streptococcus gordonii",16416,2,1,"M M Vickerman","Aug 20, 2015"
GPL20824,"CFX96 Touch Real-Time PCR Detection System #1855196","RT-PCR","Solanum lycopersicum",59,5,1,"Dayong Li","Aug 20, 2015"
GPL20829,"Bio-rad Solanum lycopersicum","RT-PCR","Solanum lycopersicum",59,13,1,"Dayong Li","Aug 20, 2015"
GPL20831,"Illumina HiSeq 2000 (Nicrophorus vespilloides)","high-throughput sequencing","Nicrophorus vespilloides",0,24,1,"GEO","Aug 20, 2015"
GPL20832,"Illumina Genome Analyzer IIx (Heliothis virescens)","high-throughput sequencing","Heliothis virescens",0,2,1,"GEO","Aug 20, 2015"
GPL20833,"Illumina MiSeq (Pongo pygmaeus)","high-throughput sequencing","Pongo pygmaeus",0,0,0,"GEO","Aug 20, 2015"
GPL20683,"MGX NimbleGen Drosophila melanogaster 12X135K Gene Expression Array","in situ oligonucleotide","Drosophila melanogaster",137096,36,2,"Simonelig Martine","Aug 19, 2015"
